Type,Org,Position,sTime,eTime,des
EDUCATION,Zhejiang University,B.A Degree in Computer Science & Technology,10-Sep,14-Jul,"Fundamentals of Data Structures\\#
Advanced Data Structure & Algorithm Analysis\\#
Probability and Mathematical Statistics\\#
Theory of Computation\\#
Numerical Analysis\\#
Computer Graphics\\#
Computer Vision\\#
Compiler Principle\\#
Computer Architecture\\#
Database System Design\\#
Software Engineering\\#
Principles of Operating System\\#
Principles of Embedded System\\#
Operating System Analysis and Projects"
EDUCATION,Carnegie Mellon University,"M.S Degree in Information Techonology, Mobility track",14-Aug,15-Dec,
